Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),K670,Chlamydial peritonitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),K671,Gonococcal peritonitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),L00,Staphylococcal scalded skin syndrome
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),L01,Impetigo
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),L02,"Cutaneous abscess, furuncle and carbuncle"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),L03,Cellulitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),L050,Pilonidal cyst with abscess
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),L081,Erythrasma
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M000,Staphylococcal arthritis and polyarthritis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M001,Pneumococcal arthritis and polyarthritis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M002,Other streptococcal arthritis and polyarthritis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M008,Arthritis and polyarthritis due to other specified bacterial agents
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M009,"Pyogenic arthritis, unspecified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M010,Meningococcal arthritis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M012,Arthritis in Lyme disease
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M013,Arthritis in other bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M030,Postmeningococcal arthritis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M031,Postinfective arthropathy in syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M491,Brucella spondylitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M492,Enterobacterial spondylitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M630,Myositis in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M650,Abscess of tendon sheath
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M651,Other infective (teno)synovitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M680,Synovitis and tenosynovitis in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M710,Abscess of bursa
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M711,Other infective bursitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M726,Necrotizing fasciitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M731,Syphilitic bursitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M86,Osteomyelitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M901,Periostitis in other infectious diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),M902,Osteopathy in other infectious diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N136,Pyonephrosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N151,Renal and perinephric abscess
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N290,Late syphilis of kidney
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N390,"Urinary tract infection, site not specified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N410,Acute prostatitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N412,Abscess of prostate
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N413,Prostatocystitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N431,Infected hydrocele
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N45,Orchitis and epididymitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N70,Salpingitis and oophoritis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N71,"Inflammatory disease of uterus, except cervix"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N72,Inflammatory disease of cervix uteri
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N73,Other female pelvic inflammatory diseases
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N743,Female gonococcal pelvic inflammatory disease
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N744,Female chlamydial pelvic inflammatory disease
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N748,Female pelvic inflammatory disorders in other diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),N751,Abscess of Bartholin's gland
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P231,Congenital pneumonia due to Chlamydia
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P232,Congenital pneumonia due to staphylococcus
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P233,"Congenital pneumonia due to streptococcus, group B"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P234,Congenital pneumonia due to Escherichia coli
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P235,Congenital pneumonia due to Pseudomonas
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P236,Congenital pneumonia due to other bacterial agents
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P36,Bacterial sepsis of newborn
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),P372,Neonatal (disseminated) listeriosis
Anorexia and bulimia nervosa,,,Diagnosis of Anorexia and bulimia nervosa,F500,Anorexia nervosa
Anorexia and bulimia nervosa,,,Diagnosis of Anorexia and bulimia nervosa,F501,Atypical anorexia nervosa
Anorexia and bulimia nervosa,,,Diagnosis of Anorexia and bulimia nervosa,F502,Bulimia nervosa
Anorexia and bulimia nervosa,,,Diagnosis of Anorexia and bulimia nervosa,F503,Atypical bulimia nervosa
Pneumothorax,,,Diagnosis of Pneumothorax,J93,Pneumothorax
Rheumatic valve dz,,,Diagnosis of Rheumatic valve dz,I05,Rheumatic mitral valve diseases
Rheumatic valve dz,,,Diagnosis of Rheumatic valve dz,I06,Rheumatic aortic valve diseases
Rheumatic valve dz,,,Diagnosis of Rheumatic valve dz,I07,Rheumatic tricuspid valve diseases
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A065,Amoebic lung abscess
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A202,Pneumonic plague
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A212,Pulmonary tularaemia
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A221,Pulmonary Anthrax
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A310,Pulmonary mycobacterial infection
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A37,Whooping cough
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A420,Pulmonary actinomycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,A430,Pulmonary nocardiosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B012,Varicella pneumonia
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B052,Measles complicated by pneumonia
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B250,Cytomegaloviral pneumonitis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B371,Pulmonary candidiasis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B380,Acute pulmonary coccidioidomycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B381,Chronic pulmonary coccidioidomycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B382,"Pulmonary coccidioidomycosis, unspecified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B390,Acute pulmonary histoplasmosis capsulati
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B391,Chronic pulmonary histoplasmosis capsulati
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B392,"Pulmonary histoplasmosis capsulati, unspecified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B400,Acute pulmonary blastomycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B401,Chronic pulmonary blastomycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B402,"Pulmonary blastomycosis, unspecified"
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B410,Pulmonary paracoccidioidomycosis
Lower Respiratory Tract Infections,,,Diagnosis of Lower Respiratory Tract Infections,B420,Pulmonary sporotrichosis
